城市,区域,公司全名,公司简称,公司规模,融资阶段,职位名称,工资,工作经验,学历要求,职位福利,行业,发布时间
北京,朝阳区,北京怡合春天科技有限公司,本木医疗,50-150人,不需要融资,数据分析师（反欺诈方向）,15k-25k,3-5年,本科,"薪资高,福利多","移动互联网,消费生活",2019/8/14 10:29
北京,朝阳区,北京链家房地产经纪有限公司,北京链家,2000人以上,不需要融资,数据分析-店面管理,8k-14k,1年以下,本科,大平台,房产家居,2019/8/14 9:47
北京,朝阳区,北京自如友家资产管理有限公司,自如网,2000人以上,A轮,数据分析经理,15k-30k,5-10年,本科,"绩效奖金,年底双薪,餐补,房补",房产家居,2019/8/14 15:56
北京,朝阳区,北京海智创鑫科技有限公司,海智创鑫,50-150人,不需要融资,数据分析师,14k-25k,1-3年,本科,"快速发展,年底多薪,九险一金",其他,2019/8/9 10:25
北京,朝阳区,大鱼快乐有限公司,阿里文娱,2000人以上,上市公司,数据分析师,25k-45k,5-10年,本科,福利待遇，发展前景,"文娱丨内容,移动互联网",2019/8/5 15:40
北京,朝阳区,上海花千树信息科技有限公司北京分公司,世纪佳缘,500-2000人,上市公司,数据分析,8k-15k,1-3年,本科,"成熟团队,上升空间",移动互联网,2019/8/14 13:21
北京,朝阳区,掌阅科技股份有限公司,掌阅,500-2000人,上市公司,数据分析师,20k-25k,3-5年,本科,"千万级用户,高并发系统,专业一带一",文娱丨内容,2019/8/14 9:47
北京,朝阳区,北京天真互动科技有限公司,天真互动,15-50人,A轮,数据分析师（C端游戏社交行业）,12k-24k,1-3年,本科,游戏公司氛围 高薪 发展空间大 地铁周边,"移动互联网,游戏",2019/8/9 10:00
北京,朝阳区,北京人民在线网络有限公司,人民在线,150-500人,不需要融资,数据分析师,8k-15k,1-3年,本科,"五险一金,补充医疗,大平台,技术大咖多","数据服务,移动互联网",2019/8/14 8:57
北京,朝阳区,宝宝树（北京）信息技术有限公司,宝宝树,500-2000人,上市公司,数据分析师,20k-30k,3-5年,本科,垂直领先，商业保险、技术氛围,社交,2019/8/12 10:00
北京,朝阳区,厦门安妮股份有限公司,安妮股份,500-2000人,上市公司,数据分析师,17k-23k,3-5年,本科,固定工资+绩效工资+年终奖金,移动互联网,2019/8/11 19:19
北京,朝阳区,时空幻境（北京）科技有限公司,Magic Tavern,150-500人,不需要融资,数据分析,30k-35k,3-5年,本科,待遇优厚 游戏出海 行业前三 国际化团队,游戏,2019/8/13 15:18
北京,朝阳区,玖富数科科技集团有限责任公司,玖富数科集团,2000人以上,D轮及以上,数据分析师（经营分析方向）,10k-20k,1-3年,本科,成长空间大，五险一金,金融,2019/8/6 10:59
北京,朝阳区,广州数说故事信息科技有限公司,DataStory,150-500人,B轮,数据分析师,12k-20k,1-3年,本科,"颜值高,氛围好,周末双休",数据服务,2019/8/14 16:30
北京,朝阳区,上海证大喜马拉雅网络科技有限公司,喜马拉雅,500-2000人,D轮及以上,数据分析师,17k-30k,5-10年,本科,16薪 周末双休 极客文化 弹性工作,"移动互联网,文娱丨内容",2019/8/14 18:18
北京,朝阳区,贝壳金科控股有限公司,贝壳金服,500-2000人,未融资,风险计量部-数据分析师,15k-30k,不限,本科,六险一金 带薪年假 节日福利,金融,2019/8/14 13:04
北京,朝阳区,北京人民在线网络有限公司,人民在线,150-500人,不需要融资,数据分析师,8k-10k,不限,本科,"五险一金,补充医疗,带薪年假,大牛团队","数据服务,移动互联网",2019/8/14 8:57
北京,朝阳区,玖富数科科技集团有限责任公司,玖富数科集团,2000人以上,D轮及以上,数据分析师,10k-20k,1-3年,本科,成长空间大，五险一金,金融,2019/8/6 10:58
北京,朝阳区,中信百信银行股份有限公司,百信银行,150-500人,不需要融资,数据分析师,20k-30k,3-5年,本科,工作独立创新、薪酬待遇优厚可谈,金融,2019/8/14 20:08
北京,朝阳区,北京一览科技有限公司,一览科技,150-500人,B轮,数据分析师,20K-40K,1-3年,本科,待遇优厚,"移动互联网,文娱丨内容",2019/8/14 16:37
北京,朝阳区,北京三快在线科技有限公司,美团点评,2000人以上,上市公司,数据分析师,10k-20k,3-5年,本科,大平台，绩效奖金，班车,消费生活,2019/8/14 14:55
北京,朝阳区,天创信用服务有限公司,天创信用,150-500人,B轮,数据分析师,10k-20k,1-3年,本科,弹性工作，不打卡，领导nice，补充医疗,"移动互联网,金融",2019/8/14 9:32
北京,朝阳区,北京五八到家信息技术有限公司,58到家,2000人以上,D轮及以上,数据分析师,20k-40k,3-5年,本科,"平台大,氛围好,不打卡,下午茶",消费生活,2019/8/13 15:36
北京,朝阳区,珠海随变科技有限公司,必要商城,150-500人,不需要融资,数据分析师-用户增长,15k-30k,3-5年,本科,"C2M,牛人多,盈利平台",电商,2019/8/13 14:14
北京,朝阳区,北京逍遥志科技有限公司,逍遥志科技,15-50人,A轮,数据分析师,15k-25k,1-3年,本科,精英团队，创业初期，前景光明,"移动互联网,金融",2019/8/14 17:55
北京,朝阳区,北京美住必成科技有限公司,美住,500-2000人,A轮,数据分析师,10k-20k,3-5年,本科,"五险一金,弹性工作,扁平管理,大牛带队","消费生活,电商",2019/8/14 15:40
北京,朝阳区,北京印象笔记科技有限公司,印象笔记,50-150人,A轮,数据分析师,15k-20k,1-3年,本科,"大量数据积累,团队年轻,作战实力强","移动互联网,企业服务",2019/8/14 14:43
北京,朝阳区,北京方研矩行科技有限公司,青莲云,15-50人,A轮,数据分析工程师,15k-25k,1-3年,本科,"五险一金,带薪年假,优秀团队,补充医疗","企业服务,硬件",2019/8/14 9:45
北京,朝阳区,北京盖娅互娱网络科技股份有限公司,盖娅互娱,500-2000人,上市公司,数据分析师,10k-15k,不限,本科,"综合补贴,五险一金,弹性时间,年终奖","移动互联网,游戏",2019/8/12 18:17
